Item,Count
"('Morocco', 'Southern Europe')",1
"('Morocco', 'European Union')",1
"('Botswana', 'United States of America')",1
"('Botswana', 'Thailand')",1
"('Botswana', 'Botswana')",1
"('United States of America', 'United States of America')",27
"('United States of America', 'Thailand')",1
"('United States of America', 'Botswana')",1
"('Thailand', 'United States of America')",1
"('Thailand', 'Thailand')",1
"('Thailand', 'Botswana')",1
"('United Kingdom', 'China')",2
"('United Kingdom', 'United Kingdom')",5
"('Spain', 'Japan')",1
"('Spain', 'India')",1
"('United Kingdom', 'Switzerland')",1
"('Denmark', 'Switzerland')",1
"('Portugal', 'Portugal')",4
"('Portugal', 'European Union')",1
"('Portugal', 'Africa')",1
"('India', 'India')",9
"('India', 'United Kingdom')",1
"('Belgium', 'Africa')",1
"('Belgium', 'European Union')",8
"('South Africa', 'Africa')",5
"('South Africa', 'European Union')",2
"('Ethiopia', 'Africa')",1
"('Ethiopia', 'European Union')",1
"('Italy', 'United States of America')",2
"('Italy', 'Italy')",2
"('United Kingdom', 'Portugal')",1
"('Portugal', 'United Kingdom')",1
"('Japan', 'United Kingdom')",1
"('Japan', 'Turkey')",1
"('Japan', 'Pakistan')",2
"('Russian Federation', 'Canada')",1
"('Russian Federation', 'United States of America')",8
"('Russian Federation', 'China')",4
"('France', 'European Union')",3
"('Malaysia', 'Malaysia')",4
"('United Kingdom', 'Mongolia')",1
"('South Korea', 'Russian Federation')",3
"('South Korea', 'South Korea')",1
"('Kazakhstan', 'Russian Federation')",1
"('Kazakhstan', 'Central Asia')",1
"('South Korea', 'United States of America')",2
"('Germany', 'Italy')",2
"('Germany', 'United States of America')",6
"('Germany', 'United Kingdom')",3
"('Netherlands', 'United States of America')",1
"('Netherlands', 'Cuba')",1
"('Netherlands', 'Iran')",1
"('Germany', 'Developing countries')",1
"('India', 'Developing countries')",3
"('Iran', 'Developing countries')",1
"('South Africa', 'Singapore')",1
"('South Africa', 'Malaysia')",1
"('South Africa', 'Sri Lanka')",1
"('Nepal', 'Nepal')",2
"('Sri Lanka', 'South Korea')",1
"('Sri Lanka', 'China')",1
"('Sri Lanka', 'Mongolia')",1
"('Sri Lanka', 'Malaysia')",1
"('Sri Lanka', 'Viet Nam')",1
"('Sri Lanka', 'India')",1
"('Sri Lanka', 'Sri Lanka')",1
"('South Africa', 'South Africa')",5
"('Palestine', 'Palestine')",1
"('Germany', 'Germany')",6
"('India', 'Japan')",1
"('India', 'France')",1
"('France', 'Africa')",1
"('France', 'Asia')",1
"('Ireland', 'European Union')",1
"('Ireland', 'Africa')",1
"('Ireland', 'Asia')",1
"('Ireland', 'Latin America and the Caribbean')",1
"('Germany', 'European Union')",2
"('Germany', 'Asia')",1
"('Mauritius', 'Mauritius')",2
"('Mauritius', 'India')",1
"('Mauritius', 'France')",1
"('Mauritius', 'European Union')",1
"('Mauritius', 'Australia')",1
"('Mauritius', 'South Africa')",1
"('Mauritius', 'Africa')",1
"('South Africa', 'Mauritius')",1
"('Bolivia', 'Developing countries')",1
"('Egypt', 'Egypt')",1
"('Norway', 'Russian Federation')",2
"('Turkey', 'Arctic')",1
"('Turkey', 'Norway')",1
"('Russian Federation', 'United Kingdom')",3
"('United Kingdom', 'Russian Federation')",2
"('United States of America', 'Russian Federation')",9
"('United States of America', 'Argentina')",1
"('Argentina', 'Russian Federation')",1
"('Argentina', 'Argentina')",1
"('Canada', 'Arctic')",4
"('Czechia', 'Arctic')",1
"('Netherlands', 'Arctic')",1
"('Netherlands', 'Norway')",1
"('Germany', 'Arctic')",2
